Ebeam     Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
    8.5650   2.0100   8.6000   0.0315   0.3871  0.25620E+03  0.25620E+03  0.00000E+00  0.27716E+03  0.11543E+03  0.00000E+00  0.16173E+03  0.42739E+00
    8.5650   2.0200   8.6000   0.0317   0.3891  0.25643E+03  0.25643E+03  0.00000E+00  0.27597E+03  0.11416E+03  0.00000E+00  0.16180E+03  0.42748E+00
    8.5650   2.0300   8.6000   0.0319   0.3910  0.25667E+03  0.25667E+03  0.00000E+00  0.27479E+03  0.11291E+03  0.00000E+00  0.16188E+03  0.42758E+00
    8.5650   2.0400   8.6000   0.0321   0.3929  0.25691E+03  0.25691E+03  0.00000E+00  0.27363E+03  0.11168E+03  0.00000E+00  0.16196E+03  0.42767E+00
    8.5650   2.0500   8.6000   0.0323   0.3948  0.25716E+03  0.25716E+03  0.00000E+00  0.27250E+03  0.11046E+03  0.00000E+00  0.16204E+03  0.42777E+00
    8.5650   2.0600   8.6000   0.0325   0.3968  0.25740E+03  0.25740E+03  0.00000E+00  0.27137E+03  0.10926E+03  0.00000E+00  0.16210E+03  0.42786E+00
    8.5650   2.0700   8.6000   0.0327   0.3987  0.25765E+03  0.25765E+03  0.00000E+00  0.27027E+03  0.10808E+03  0.00000E+00  0.16218E+03  0.42796E+00
    8.5650   2.0800   8.6000   0.0329   0.4006  0.25790E+03  0.25790E+03  0.00000E+00  0.26918E+03  0.10692E+03  0.00000E+00  0.16226E+03  0.42806E+00
    8.5650   2.0900   8.6000   0.0331   0.4025  0.25815E+03  0.25815E+03  0.00000E+00  0.26811E+03  0.10577E+03  0.00000E+00  0.16234E+03  0.42815E+00
    8.5650   2.1000   8.6000   0.0333   0.4045  0.25841E+03  0.25841E+03  0.00000E+00  0.26706E+03  0.10464E+03  0.00000E+00  0.16242E+03  0.42825E+00
    8.5650   2.1100   8.6000   0.0335   0.4064  0.25867E+03  0.25867E+03  0.00000E+00  0.26603E+03  0.10352E+03  0.00000E+00  0.16250E+03  0.42834E+00
    8.5650   2.1200   8.6000   0.0338   0.4083  0.25893E+03  0.25893E+03  0.00000E+00  0.26501E+03  0.10242E+03  0.00000E+00  0.16259E+03  0.42844E+00
    8.5650   2.1300   8.6000   0.0340   0.4102  0.25919E+03  0.25919E+03  0.00000E+00  0.26402E+03  0.10134E+03  0.00000E+00  0.16268E+03  0.42854E+00
    8.5650   2.1400   8.6000   0.0342   0.4122  0.25946E+03  0.25946E+03  0.00000E+00  0.26303E+03  0.10027E+03  0.00000E+00  0.16276E+03  0.42864E+00
    8.5650   2.1500   8.6000   0.0344   0.4141  0.25973E+03  0.25973E+03  0.00000E+00  0.26179E+03  0.99217E+02  0.00000E+00  0.16257E+03  0.42873E+00
